Season,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
2007,"Matt Wise","MIL",1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,"Matt Wise",42,277184
2007,"Curt Schilling","BOS",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Curt Schilling",73,121811
2007,"Julian Tavarez","BOS",1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,"Julian Tavarez",541,123118
2007,"Dee Brown","OAK",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Dee Brown",593,150202
2007,"Mark Mulder","STL",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Mark Mulder",932,150426
2007,"Edwin Jackson","TBD",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Edwin Jackson",1841,429719
2007,"Joel Peralta","KCR",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"Joel Peralta",2332,407908
2007,"Randy Messenger","FLA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Randy Messenger",2658,434591
2007,"Anthony Lerew","ATL",0,2,0,0.666666666,0.333333333,0,0,0,0,0,0,0.33333333,0.66666667,0,0,0,1,"Anthony Lerew",3440,434679
2007,"Jason Hammel","TBD",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Jason Hammel",4538,434628
2007,"Rocky Cherry","CHC",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Rocky Cherry",5188,457122
2007,"Tyler Clippard","NYY",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Tyler Clippard",5640,461325
2007,"David Murphy","BOS",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"David Murphy",6035,461815
2008,"Joe Nelson","FLA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Joe Nelson",108,406874
2008,"CC Sabathia","CLE",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,"CC Sabathia",404,282332
2008,"Luis Vizcaino","COL",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"Luis Vizcaino",714,150430
2008,"Lee Gardner","FLA",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Lee Gardner",1448,421104
2008,"Salomon Torres","MIL",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Salomon Torres",1628,123415
2008,"Sean Burnett","PIT",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Sean Burnett",1886,430634
2008,"Fernando Nieve","HOU",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Fernando Nieve",2173,430588
2008,"Alberto Arias","COL",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Alberto Arias",3087,464244
2008,"Mat Gamel","MIL",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Mat Gamel",4034,451143
2008,"Matt Tupman","KCR",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Matt Tupman",4381,445584
2008,"Bobby Korecky","MIN",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Bobby Korecky",4608,445090
2008,"Connor Robertson","ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Connor Robertson",7705,452075
2008,"Ross Ohlendorf","NYY",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Ross Ohlendorf",8268,456027
2008,"Brian Stokes","NYM",1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Brian Stokes",8653,425530
2009,"Julian Tavarez","WSN",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Julian Tavarez",541,123118
2009,"Bruce Chen","KCR",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Bruce Chen",769,136600
2009,"Chris Smith","MIL",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Chris Smith",4544,434672
2009,"Alfredo Aceves","NYY",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"Alfredo Aceves",5164,469686
2009,"Madison Bumgarner","SFG",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"Madison Bumgarner",5524,518516
2009,"Tom Gorzelanny","PIT",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Tom Gorzelanny",6244,452733
2009,"Brandon Medders","SFG",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Brandon Medders",8604,430665
2010,"Chan Ho Park","PIT",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Chan Ho Park",1267,120221
2010,"Jeremy Bonderman","DET",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Jeremy Bonderman",1667,425827
2010,"Heath Bell","SDP",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Heath Bell",2080,425514
2010,"Blaine Boyer","ARI",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,"Blaine Boyer",2237,430641
2010,"Joel Peralta","WSN",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Joel Peralta",2332,407908
2010,"Kenley Jansen","LAD",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Kenley Jansen",3096,445276
2010,"Ryan Rowland-Smith","SEA",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"Ryan Rowland-Smith",3245,434884
2010,"Travis Schlichting","LAD",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"Travis Schlichting",3847,459411
2010,"Jesse English","WSN",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Jesse English",4454,450832
2010,"Félix Hernández","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0.33333333,0.66666667,0,0,1,"Felix Hernandez",4772,433587
2010,"Chris Tillman","BAL",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Chris Tillman",5279,501957
2010,"Brian Bannister","KCR",0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0.33333333,0.66666667,0,0,1,"Brian Bannister",5718,446454
2010,"Aaron Laffey","CLE",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Aaron Laffey",6248,444836
2010,"Drew Sutton","CIN",1,1,0,0.5,0.5,0,1,0,0,0,0,0.5,0.5,0,0,0,1,"Drew Sutton",7430,450300
2010,"Wade Davis","TBR",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Wade Davis",7441,451584
2010,"Gio González","OAK",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Gio Gonzalez",7448,461829
2011,"Sean Burnett","WSN",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Sean Burnett",1886,430634
2011,"Jarrod Parker","ARI",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Jarrod Parker",4913,519105
2011,"Jeff Niemann","TBR",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Jeff Niemann",8591,435298
2011,"Justin Verlander","DET",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Justin Verlander",8700,434378
2012,"Blake Beavan","SEA",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Blake Beavan",338,518444
2012,"Josh Beckett","BOS",0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Josh Beckett",510,277417
2012,"Vicente Padilla","BOS",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Vicente Padilla",964,218894
2012,"Tommy Hunter","BAL",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Tommy Hunter",1157,488984
2012,"Bill Hall","BAL",1,0,0.5,0,0.5,0,1,0,0,0,0,0,0.5,0.5,0,0,1,"Bill Hall",1605,407849
2012,"Clay Hensley","SFG",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Clay Hensley",4593,454535
2012,"Francisco Cervelli","NYY",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,"Francisco Cervelli",5275,465041
2012,"Esmil Rogers","CLE",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"Esmil Rogers",6317,469134
2012,"Matt Young","DET",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Matt Young",8989,457568
2012,"Bobby Parnell","NYM",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Bobby Parnell",9926,458730
2013,"Jerome Williams","LAA",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Jerome Williams",1137,425532
2013,"Corey Kluber","CLE",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"Corey Kluber",2429,446372
2013,"Carlos Marmol","LAD",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"Carlos Marmol",2790,461791
2013,"Kenley Jansen","LAD",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Kenley Jansen",3096,445276
2013,"Drew Butera","MIN",0,1,0,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,1,"Drew Butera",3411,460077
2013,"Zach Duke","WSN",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Zach Duke",3840,435043
2013,"Ryan Webb","MIA",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Ryan Webb",7474,444436
2013,"Dylan Axelrod","CHW",1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,"Dylan Axelrod",9303,518420
2013,"Wei-Yin Chen","BAL",0,1,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,0,1,"Wei-Yin Chen",13071,612672
2014,"Jered Weaver","LAA",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,"Jered Weaver",4235,450308
2014,"Jon Lester","BOS",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Jon Lester",4930,452657
2014,"Samuel Deduno","HOU",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Samuel Deduno",5285,465679
2014,"Billy Buckner","SDP",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"Billy Buckner",8253,434438
2014,"Pedro Villarreal","CIN",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Pedro Villarreal",9904,543881
2014,"Nick Christiani","CIN",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Nick Christiani",10332,543023
2014,"Tyler Thornburg","MIL",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"Tyler Thornburg",10688,592804
2014,"Justin Grimm","CHC",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Justin Grimm",11720,518748
2015,"CC Sabathia","NYY",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"CC Sabathia",404,282332
2015,"Chin-hui Tsao","LAD",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Chin-hui Tsao",1776,425835
2015,"Ronald Belisario","TBR",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Ronald Belisario",2203,430613
2015,"Jean Machi","SFG",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Jean Machi",3220,466948
2015,"Scott Kazmir","OAK",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Scott Kazmir",4897,431148
2015,"Daniel Fields","DET",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"Daniel Fields",10390,571665
2015,"Elias Díaz","PIT",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Elias Diaz",11680,553869
2015,"Matt Andriese","TBR",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Matt Andriese",12022,542882
2015,"Seth Maness","STL",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Seth Maness",12235,595307
2015,"Carter Capps","MIA",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Carter Capps",12803,605169
2015,"Daniel Norris","DET",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,"Daniel Norris",13475,596057
2016,"Ricky Nolasco","MIN",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Ricky Nolasco",3830,445060
2016,"Matt Albers","CHW",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,"Matt Albers",4300,458006
2016,"Yohan Flande","COL",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Yohan Flande",5057,456071
2016,"Josmil Pinto","MIL",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Josmil Pinto",6806,500887
2016,"Eric Young Jr.","NYY",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Eric Young Jr.",7158,458913
2016,"Jerry Blevins","NYM",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Jerry Blevins",7841,460283
2016,"Cory Gearrin","SFG",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Cory Gearrin",7947,518715
2016,"Hansel Robles","NYM",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Hansel Robles",11801,570663
2016,"Kyle Schwarber","CHC",0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"Kyle Schwarber",16478,656941
2017,"Luis Avilán","LAD",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"Luis Avilan",2882,501593
2017,"Brian Duensing","CHC",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Brian Duensing",4064,488846
2017,"Pedro Strop","CHC",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Pedro Strop",4070,467008
2017,"Derek Holland","CHW",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Derek Holland",4141,502706
2017,"Jhan Mariñez","MIL",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Jhan Marinez",5830,501697
2017,"Jhan Mariñez","PIT",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Jhan Marinez",5830,501697
2017,"Kyle Kendrick","BOS",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Kyle Kendrick",6230,452718
2017,"Johnny Barbato","PIT",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Johnny Barbato",11440,592127
2017,"Yadiel Rivera","MIL",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Yadiel Rivera",11863,592680
2017,"Sean Gilmartin","NYM",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"Sean Gilmartin",12781,543219
2017,"Aaron Blair","ATL",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Aaron Blair",14934,594760
2017,"Marco Gonzales","STL",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,"Marco Gonzales",15467,594835
2018,"Jerry Blevins","NYM",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Jerry Blevins",7841,460283
2018,"Tyler Cloyd","MIA",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,"Tyler Cloyd",8536,543031
2018,"Mike Minor","TEX",0.5,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0,0,1,"Mike Minor",10021,501985
2018,"Kyle Gibson","MIN",1,1,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1,"Kyle Gibson",10123,502043
2018,"Mike Freeman","CHC",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Mike Freeman",11241,502273
2018,"Aaron Sanchez","TOR",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"Aaron Sanchez",11490,592717
